iteration,population_size,to_mate,to_mutate,fitness,time
4990,200,110,2,4139.21159761,1.739390232
0,200,110,4,3033.40234467,1.00649999979e-05
10,200,110,4,3273.90135184,0.002055254
20,200,110,4,3320.08238559,0.00408892599998
30,200,110,4,3714.2017277,0.003089526
40,200,110,4,3627.55854465,0.00742088600001
50,200,110,4,3624.62941592,0.152025706
60,200,110,4,3700.10956155,0.00812480900001
70,200,110,4,3856.2868489,0.101863827
80,200,110,4,3669.30936723,0.016085635
90,200,110,4,3794.31426767,0.048367201
100,200,110,4,3976.65042549,0.014362156
110,200,110,4,3952.40218842,0.072805618
120,200,110,4,4023.47168466,0.033573728
130,200,110,4,3750.53241714,0.019921149
140,200,110,4,3846.2729077,0.059102944
150,200,110,4,4125.63689153,0.025034991
160,200,110,4,3904.1507414,0.202853945
170,200,110,4,4084.55586495,0.032557355
180,200,110,4,4030.40877811,0.058360437
190,200,110,4,3844.55349033,0.033900379
200,200,110,4,3883.8621331,0.186831295
210,200,110,4,4040.36736529,0.050183968
220,200,110,4,4089.3635508,0.140443716
230,200,110,4,3978.94467603,0.189455909
240,200,110,4,3947.1500979,0.107144435
250,200,110,4,4150.91211958,0.023817075
260,200,110,4,4008.90333946,0.023191954
270,200,110,4,3847.55776052,0.025451748
280,200,110,4,3981.53060746,0.02562777
290,200,110,4,3875.32707529,0.033540702
300,200,110,4,4011.70200736,0.032222805
310,200,110,4,4012.07270049,0.031071335
320,200,110,4,3898.76519739,0.03582621
330,200,110,4,3962.454622,0.03051294
340,200,110,4,4093.23379266,0.02843461
350,200,110,4,4154.01679144,0.038174758
360,200,110,4,4038.25269995,0.053443621
370,200,110,4,4089.85722718,0.03428191
380,200,110,4,4020.1086534,0.032638186
390,200,110,4,4094.6618173,0.042940613
400,200,110,4,3915.4834567,0.047109693
410,200,110,4,4072.2494153,0.068260324
420,200,110,4,4116.36052923,0.038163846
430,200,110,4,3957.62968722,0.039313584
440,200,110,4,4029.31445314,0.039590484
450,200,110,4,4084.00074847,0.041383234
460,200,110,4,3994.02496422,0.045770169
470,200,110,4,4112.14643806,0.046134948
480,200,110,4,4062.71787048,0.042095661
490,200,110,4,4030.12083232,0.040999722
500,200,110,4,4120.17901539,0.045980108
510,200,110,4,4130.29617615,0.047582358
520,200,110,4,4008.98742445,0.051169873
530,200,110,4,3917.10950062,0.047800518
540,200,110,4,3971.02895544,0.045250352
550,200,110,4,4116.36911145,0.062284453
560,200,110,4,4098.22179555,0.052824794
570,200,110,4,4127.20891274,0.046677685
580,200,110,4,4100.13340249,0.046283919
590,200,110,4,3982.76786856,0.048399832
600,200,110,4,3915.69717429,0.056404912
610,200,110,4,4043.55142202,0.056382831
620,200,110,4,4061.10271748,0.051324239
630,200,110,4,3978.40246105,0.050155135
640,200,110,4,4147.13568888,0.056241351
650,200,110,4,3922.39451457,0.05825741
660,200,110,4,4136.47491853,0.057189546
670,200,110,4,4009.11392218,0.053593206
680,200,110,4,3955.23993896,0.060089993
690,200,110,4,4091.79215645,0.066640797
700,200,110,4,3999.52476183,0.063936517
710,200,110,4,3996.85723991,0.063383814
720,200,110,4,4088.48605019,0.075261339
730,200,110,4,4006.71209744,0.063939458
740,200,110,4,4027.92204831,0.06403531
750,200,110,4,4108.64512219,0.061288895
760,200,110,4,4215.56559404,0.073281948
770,200,110,4,4108.27590327,0.074278054
780,200,110,4,4072.80087777,0.064202894
790,200,110,4,4141.27089904,0.064991878
800,200,110,4,3986.46305937,0.081572951
810,200,110,4,3984.7139393,0.06686453
820,200,110,4,4178.1523948,0.068460253
830,200,110,4,4154.6723136,0.073444673
840,200,110,4,4167.61409065,0.067923603
850,200,110,4,3963.52883854,0.07002214
860,200,110,4,3911.30382957,0.08116917
870,200,110,4,4087.10081606,0.081328981
880,200,110,4,4022.69184774,0.081106436
890,200,110,4,4055.46926552,0.081351729
900,200,110,4,4117.87905907,0.081791775
910,200,110,4,4049.70786391,0.084206543
920,200,110,4,4143.61809778,0.095132703
930,200,110,4,4122.75838453,0.088260105
940,200,110,4,3926.1624476,0.085775038
950,200,110,4,4034.5314382,0.080065842
960,200,110,4,4125.52810037,0.081528338
970,200,110,4,4133.57849199,0.083396224
980,200,110,4,4227.70354393,0.09138338
990,200,110,4,4108.35186832,0.087891393
1000,200,110,4,4019.26192946,0.088365127
1010,200,110,4,4097.47729156,0.085037192
1020,200,110,4,3990.56195581,0.089328392
1030,200,110,4,4143.5915496,0.088512859
1040,200,110,4,4017.79350576,0.088647465
1050,200,110,4,3989.57705144,0.083713423
1060,200,110,4,4087.13419198,0.093159239
1070,200,110,4,4037.26321358,0.092026807
1080,200,110,4,4083.59536593,0.090709917
1090,200,110,4,4089.7832578,0.098866446
1100,200,110,4,4013.95518525,0.088459397
1110,200,110,4,4035.22447322,0.090674665
1120,200,110,4,4095.38785644,0.093056828
1130,200,110,4,4052.3369671,0.095608392
1140,200,110,4,4079.76577019,0.090594107
1150,200,110,4,4181.11230225,0.096801935
1160,200,110,4,4076.36036523,0.095533746
1170,200,110,4,4146.4807989,0.093919405
1180,200,110,4,4016.95397457,0.120845211
1190,200,110,4,3909.67134231,0.116425663
1200,200,110,4,4182.22729656,0.111281772
1210,200,110,4,4075.23928564,0.102924607
1220,200,110,4,4121.63579691,0.099303069
1230,200,110,4,4150.18624375,0.106519727
1240,200,110,4,4197.67682021,0.124106048
1250,200,110,4,4051.21625657,0.116269267
1260,200,110,4,3881.1877746,0.113895607
1270,200,110,4,4079.5725203,0.117369385
1280,200,110,4,3917.51231342,0.145126885
1290,200,110,4,4199.75792689,0.117209851
1300,200,110,4,4112.15127202,0.111156893
1310,200,110,4,3976.72878524,0.123100332
1320,200,110,4,4033.44907499,0.119783561
1330,200,110,4,4076.67056228,0.117739899
1340,200,110,4,4049.90533589,0.111481884
1350,200,110,4,4133.97060202,0.109793866
1360,200,110,4,4017.06857599,0.110101474
1370,200,110,4,3988.86010477,0.113886921
1380,200,110,4,4026.58940511,0.112429643
1390,200,110,4,4198.68393952,0.112813987
