iterations,samples,to_keep,m,fitness,time
60,200,100,0.9,3528.75660236,0.077079995
70,200,100,0.9,3564.94652573,0.079778256
80,200,100,0.9,3581.27155295,0.0881185
90,200,100,0.9,3629.58468593,0.103282933
100,200,100,0.9,3568.23880327,0.111777847
110,200,100,0.9,3548.06796196,0.12140227
120,200,100,0.9,3589.42581762,0.14695865
130,200,100,0.9,3587.6401561,0.140525443
140,200,100,0.9,3578.15383992,0.154185806
150,200,100,0.9,3605.25416726,0.162146852
160,200,100,0.9,3598.46616738,0.176233059
170,200,100,0.9,3527.77794401,0.186712239
180,200,100,0.9,3591.28100696,0.20035898
190,200,100,0.9,3648.83673604,0.202246267
200,200,100,0.9,3626.90600276,0.219611636
210,200,100,0.9,3568.46985699,0.24071968
220,200,100,0.9,3569.89909978,0.248879832
230,200,100,0.9,3584.72306958,0.28337813
240,200,100,0.9,3589.37728316,0.276309402
250,200,100,0.9,3658.31926639,0.280020961
260,200,100,0.9,3546.38620129,0.28898471
270,200,100,0.9,3639.55247703,0.29025187
280,200,100,0.9,3629.07826316,0.298688136
290,200,100,0.9,3616.04601481,0.320774824
300,200,100,0.9,3544.21570004,0.326325478
310,200,100,0.9,3589.70170241,0.338955183
320,200,100,0.9,3582.20896817,0.349944034
330,200,100,0.9,3543.12707139,0.366245397
340,200,100,0.9,3595.70349501,0.36682356
350,200,100,0.9,3551.80036028,0.39301749
360,200,100,0.9,3618.71609832,0.42912299
370,200,100,0.9,3520.75076088,0.53101265
380,200,100,0.9,3584.18198832,0.429332595
390,200,100,0.9,3610.34457923,0.45295317
400,200,100,0.9,3631.55896947,0.4369125
410,200,100,0.9,3532.34601834,0.440338966
420,200,100,0.9,3592.31634028,0.467327742
430,200,100,0.9,3585.29164428,0.469071049
440,200,100,0.9,3523.28571604,0.492637958
450,200,100,0.9,3573.2344842,0.476824591
460,200,100,0.9,3619.82710707,0.499846801
470,200,100,0.9,3539.15805717,0.528022293
480,200,100,0.9,3574.93695388,0.542886223
490,200,100,0.9,3575.12544794,0.540769858
